"","condition","happy","depressed","fear","angry","calm","sounds","seeing","temperature","odors","depth","computations","thoughts","reasoning","remembering","beliefs","hungry","tired","pain","nauseated","safe","love","recognizing","communicating","guilt","disrespected","free_will","choices","self_restraint","intentions","goal","conscious","self_aware","desires","embarrassed","emo_recog","joy","morality","personality","pleasure","pride"
"413","robot",-3,-3,-3,-3,-3,3,3,3,3,3,3,-2,2,3,-3,-3,-3,-2,-3,-3,-3,2,2,-3,-3,-2,2,1,-1,2,-3,-2,-2,-3,0,1,0,1,-3,-3
"414","robot",-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,2,-2,2,-2,-2,2,-2,2,-2,-2,2,-2,-2
"415","beetle",0,-2,-2,2,-3,1,2,2,2,1,-3,-3,-3,1,-3,2,0,0,-3,0,-3,-3,-3,-3,-3,1,2,-3,-1,-1,2,0,2,-3,-3,-1,-3,-1,1,-3
"416","beetle",1,2,2,1,1,2,3,3,2,1,-2,3,0,2,0,3,3,3,2,2,2,2,1,-1,-2,3,1,-1,2,2,1,1,2,-2,0,3,0,1,3,1
"417","beetle",-3,-3,3,3,-3,0,3,3,0,-3,-3,3,-3,-3,-3,3,3,3,-3,-3,-3,-3,3,-3,-3,3,3,-3,3,3,-3,1,3,-3,-3,-3,-3,-3,3,-3
"418","beetle",-3,0,3,2,1,3,3,3,0,0,-2,0,-2,0,-3,3,2,3,0,1,0,1,3,-3,0,2,3,-3,3,3,1,2,-2,-3,-3,0,-3,0,1,-3
"419","robot",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"420","beetle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"421","robot",2,1,1,1,1,2,0,-2,2,0,-1,0,-1,2,2,2,1,-1,-1,1,1,-1,1,2,-1,-1,0,1,-1,1,1,1,-2,2,-1,1,-1,2,1,1
"422","robot",-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"423","beetle",0,0,1,0,0,3,2,0,3,0,-2,0,0,0,-2,2,1,2,0,0,0,-1,1,0,-1,2,1,0,0,1,0,0,0,0,1,0,-1,1,0,0
"424","beetle",-3,-3,-1,-3,-3,0,3,-1,2,-3,-3,-1,-3,-2,-3,3,-3,-1,-3,2,-3,-3,0,-3,-3,-1,-2,-3,-1,0,-1,-3,-3,-3,-3,-2,-3,-3,-3,-3
"425","beetle",-3,-3,-3,-3,-3,1,-1,-3,-3,-3,-2,-3,-3,-1,-3,2,1,0,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-1,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3
"426","robot",-3,-3,-3,-3,-3,3,3,3,0,3,3,0,-3,3,-3,-3,-3,-3,-3,-3,-3,2,3,-3,-3,-3,2,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"427","robot",-3,-3,-3,-3,-3,2,2,3,2,0,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,1,3,-3,-3,0,0,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"428","beetle",-1,-3,3,-3,2,2,1,1,2,1,-3,1,-3,-3,-3,2,-1,2,1,-3,-3,-3,0,-3,-3,1,0,-3,-3,0,-3,0,-3,-3,-3,-1,-3,-3,1,-3
"429","beetle",-3,-3,-3,-3,-3,2,1,2,1,-1,-3,-1,-3,-3,-3,3,2,-3,-3,2,-3,-3,-1,-3,-3,1,2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"430","robot",-3,-3,-3,-3,-3,2,1,2,2,2,2,-3,1,1,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-3,1,1,-3,1,1,-3,-3,-3,-3,-3,-3,-3,0,-3,-3
"431","robot",-3,-3,-3,-3,-3,1,1,3,1,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"432","beetle",-2,-1,-1,-2,-1,-2,-1,-2,1,-2,0,-2,-2,-1,-2,-1,1,2,-2,-2,-2,-2,1,-1,-2,-1,-1,-1,1,-2,-2,-2,-1,-1,0,-2,-2,-1,0,-2
"433","robot",-2,-3,-2,-3,-3,3,1,2,1,2,3,-3,1,-2,-3,-3,-3,-3,-3,-2,-2,2,1,-2,-2,-3,1,0,-3,2,-3,-2,-2,-2,-2,-2,-1,-3,-2,-3
"434","robot",-3,-3,-3,-3,-3,1,-3,-1,-3,-1,2,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"435","beetle",-3,-3,2,-1,-2,1,2,1,2,0,-3,-2,-3,-2,-3,2,1,-1,-3,1,-3,1,2,-3,-3,-2,0,-3,0,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
